property,version,truth,footnote-md
rel-le-bal,v1,1,
exp-all-rel,v1,1,
no-start-no-rel,v1,1,
release-rel,v1,1,
ext-release-rel,v1,1,
benef-only-recv,v1,1,
rel-grows-linear,v1,1,
rel-strict-incr,v1,1,

rel-le-bal,v2,0,
exp-all-rel,v2,0,
no-start-no-rel,v2,1
release-rel,v2,1,
ext-release-rel,v2,1,
benef-only-recv,v2,1,
rel-grows-linear,v2,1,
rel-strict-incr,v2,1,

rel-le-bal,v3,1,
exp-all-rel,v3,1,
no-start-no-rel,v3,0,
release-rel,v3,1,
ext-release-rel,v3,1,
benef-only-recv,v3,1,
rel-grows-linear,v3,1,
rel-strict-incr,v3,1,

rel-le-bal,v4,1,
exp-all-rel,v4,1,
no-start-no-rel,v4,1,
release-rel,v4,0,
ext-release-rel,v4,0,
benef-only-recv,v4,1,
rel-grows-linear,v4,1,
rel-strict-incr,v4,1,

rel-le-bal,v5,1,
exp-all-rel,v5,1,
no-start-no-rel,v5,1,
release-rel,v5,1,
ext-release-rel,v5,1,
benef-only-recv,v5,0,
rel-grows-linear,v5,1,
rel-strict-incr,v5,1,

rel-le-bal,v6,1,
exp-all-rel,v6,1,
no-start-no-rel,v6,1,
release-rel,v6,1,
ext-release-rel,v6,1,
benef-only-recv,v6,1,
rel-grows-linear,v6,0,
rel-strict-incr,v6,1,

rel-le-bal,v7,1,
exp-all-rel,v7,1,
no-start-no-rel,v7,1,
release-rel,v7,1,
ext-release-rel,v7,1,
benef-only-recv,v7,1,
rel-grows-linear,v7,0,
rel-strict-incr,v7,0,